"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName";"color";"lieferzeit";"Wichtigste Produkteigenschaften Aufzahlungspunkt 1";"Wichtigste Produkteigenschaften Aufzahlungspunkt 2";"Wichtigste Produkteigenschaften Aufzahlungspunkt 3";"Wichtigste Produkteigenschaften Aufzahlungspunkt 4";"Wichtigste Produkteigenschaften Aufzahlungspunkt 5";"Available sizes";"virtual_top10ofbrand";"virtual_top25"
"PA1-f05-0004-33";"Pataugas Damenschuhe Sneaker Sneaker";"PATAUGAS - die Kult-Marke aus Frankreich! ?´sthetische Sneaker und Booties aus softem Leder und hochwertiger Verarbeitung! Jetzt versandkosenfrei bestellen bei zalando.de";"99.00 EUR";"http://i2.ztatic.de/large/P/A/PA1-f05-0004-33__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/pataugas-sneaker-bronze.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"braun komb.";"1-2 Tage";"edle Lederkombination|hochwertige Verarbeitung";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"38";"0";"0"
"EL1-f21-0009-02";"El Naturalista Stiefeletten Elegante Stiefeletten DUNA";"Die Stiefelette des Sommers kommt von EL NATURALISTA! Bei zalando.de bestellen und den kostenlosen Versand genießen - Schuhe online bestellen!";"139.95 EUR";"http://i1.ztatic.de/large/E/L/EL1-f21-0009-02__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/el-naturalista-duna-leder-stiefelette-weiss.html?cg=03&ch=03";32492852;"Schuhe > Damenschuhe > Stiefeletten > Elegante Stiefeletten";"weiss";"1-2 Tage";"raffiniertes Design|auswechselbares Fussbett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Natur-Kautschuk";"40 41 42";"0";"0"
"AD1-f05-0003-01";"Adidas Damenschuhe Sneaker NIZZA LOW SLEEK W";"STYLE-HIGHLIGHT aus der Sleek Series in edlem Canvas und schwarzen Lack-Streifen. Jetzt die coole Modelle versandkostenfrei bei Zalando.de bestellen und anprobieren!";"49.00 EUR";"http://i2.ztatic.de/large/A/D/AD1-f05-0003-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/adidas-nizza-low-sleek-sneaker-black-ligoni.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"schwarz";"1-2 Tage";"schwarz-silberne Schnürsenkelkappen´ |Sneaker im Classic-Style";"Leinen";"Innenmaterial: Synthetik gefüttert";"Decksohle: Synthetik";"abriebfester Gummi";"38,5 40,5";"0";"0"
"FL1-f09-0002-01";"flip*flop Damenschuhe Pumps FLIPPA CLASSIC";"Sommerliche Keil-Peep-Toes vim Kult-Label flip*flop in vielen Farben. Diese und viele andere Modelle der Sommerkollektion gibt es jetzt versandkostenfrei bei Zalando.de.";"59.00 EUR";"http://i1.ztatic.de/large/F/L/FL1-f09-0002-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-flippa-classic-keil-peep-toe-schwarz.html?cg=03&ch=03";32436500;"Schuhe > Damenschuhe > Pumps";"schwarz";"1-2 Tage";"Laufsohle mit rutschhemmenden Profil|Top Verarbeitung";"Leinen";"Innenmaterial: Lederfutter";"Decksohle: Leder";"abriebfester Gummi";"36 38 39 40 41 42";"1";"0"
"FL1-f09-0002-16";"flip*flop Pumps Keilpumps FLIPPA CLASSIC";"Sommerlicher Keil-Peep-Toe aus der aktuellen Kollektion von flip*flop in vielen verschiedenen Farben. Jetzt versandkostenfreien sowie schnellen Versand genießen bei Zalando.de - kostenlose Hotline.";"69.95 EUR";"http://i1.ztatic.de/large/F/L/FL1-f09-0002-16__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-flippa-classic-keil-peep-toe-very-pink.html?cg=03&ch=03";32491628;"Schuhe > Damenschuhe > Pumps > Peeptoes";"pink";"1-2 Tage";"Blumenstickerei auf der Ferse|Keilabsatz aus natürlichem Bast";"Leinen";"Innenmaterial: Lederfutter";"Decksohle: Leder";"abriebfester Gummi";"39 40 41";"0";"0"
"FL1-f13-0008-17";"flip*flop Damenschuhe Sandalen FRINGE";"Sommerliche Fransensandalette aus der aktuellen Kollektion von flip*flop in vielen bunten Farben. Jetzt versandkostenfreien sowie schnellen Versand genießen - bei Zalando.de - kostenlose Hotline.";"69.00 EUR";"http://i1.ztatic.de/large/F/L/FL1-f13-0008-17__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-fringe-fransensandalette-chili.html?cg=03&ch=03";32436504;"Schuhe > Damenschuhe > Sandaletten";"orange";"1-2 Tage";"Logo-Print auf der Innensohle|Lederschichtabsatz";"Leder";"";"Decksohle: Leder";"echtes Leder";"36 37 38 39 40";"0";"0"
"FL1-f13-0008-05";"flip*flop Damenschuhe Sandalen FRINGE";"Sommerliche Fransensandalette aus der aktuellen Kollektion von flip*flop in vielen bunten Farben. Jetzt versandkostenfreien sowie schnellen Versand genießen - bei Zalando.de - kostenlose Hotline.";"69.00 EUR";"http://i2.ztatic.de/large/F/L/FL1-f13-0008-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-fringe-fransensandalette-grass.html?cg=03&ch=03";32436504;"Schuhe > Damenschuhe > Sandaletten";"gruen";"1-2 Tage";"Logo-Print auf der Innensohle|Lederschichtabsatz";"Leder";"";"Decksohle: Leder";"echtes Leder";"36 37";"0";"0"
"FL1-f15-0006-07";"flip*flop Damenschuhe Pantoletten FLIPPA STRAP";"Sommerliche Keilpantoletten aus der aktuellen Kollektion von flip*flop in vielen bunten Farben. Jetzt versandkostenfreien sowie schnellen Versand genießen bei Zalando.de - kostenlose Hotline.";"39.00 EUR";"http://i2.ztatic.de/large/F/L/FL1-f15-0006-07__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-flippa-strap-keilpantolette-saffron.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"gelb";"1-2 Tage";"Blumenstickerei auf der Ferse|Keilabsatz mit Bastüberzug";"Leinen";"Innenmaterial: Lederfutter";"Decksohle: Textil";"abriebfester Gummi";"40";"0";"0"
"FL1-f13-0008-13";"flip*flop Damenschuhe Sandalen FRINGE";"Sommerliche Fransensandalett aus der aktuellen Kollektion von flip*flop in vielen bunten Farben. Jetzt versandkostenfreien sowie schnellen Versand genießen - bei Zalando.de - kostenlose Hotline.";"69.00 EUR";"http://i1.ztatic.de/large/F/L/FL1-f13-0008-13__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-fringe-fransensandalette-indian-brown.html?cg=03&ch=03";32436504;"Schuhe > Damenschuhe > Sandaletten";"braun";"1-2 Tage";"Logo-Print auf der Innensohle|Lederschichtabsatz";"Leder";"";"Decksohle: Leder";"echtes Leder";"36 37 38 39";"0";"0"
"FL1-f15-0006-04";"flip*flop Damenschuhe Pantoletten FLIPPA STRAP";"Sommerliche Keilpantoletten aus der aktuellen Kollektion von Flip Flop in vielen verschiedenen Fraben. Jetzt versandkostenfreien sowie schnellen Versand genießen bei Zalando.de - kostenlose Hotline.";"49.00 EUR";"http://i1.ztatic.de/large/F/L/FL1-f15-0006-04__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-flippa-strap-keilpantolette-nori.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"blau";"1-2 Tage";"Blumenstickerei auf der Ferse|Keilabsatz mit Bastüberzug";"Leinen";"Innenmaterial: Lederfutter";"Decksohle: Textil";"abriebfester Gummi";"38";"0";"0"
"FL1-f15-0006-05";"flip*flop Damenschuhe Pantoletten FLIPPA STRAP";"Sommerliche Keilpantoletten aus der aktuellen Kollektion von Flip Flop. Jetzt versandkostenfreien sowie schnellen Versand genießen bei Zalando.de - kostenlose Hotline.";"39.00 EUR";"http://i2.ztatic.de/large/F/L/FL1-f15-0006-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-flippa-strap-keilpantolette-grass.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"gruen";"1-2 Tage";"Blumenstickerei auf der Ferse|Keilabsatz mit Bastüberzug";"Leinen";"Innenmaterial: Lederfutter";"Decksohle: Textil";"abriebfester Gummi";"36 37 38";"0";"0"
"FL1-f15-0006-17";"flip*flop Damenschuhe Pantoletten FLIPPA STRAP";"Sommerliche Keilpantoletten aus der aktuellen Kollektion von flip*flop in vielen bunten Farben. Jetzt versandkostenfreien sowie schnellen Versand genießen bei Zalando.de - kostenlose Hotline.";"39.00 EUR";"http://i1.ztatic.de/large/F/L/FL1-f15-0006-17__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-flippa-strap-keilpantolette-chili.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"orange";"1-2 Tage";"Blumenstickerei auf der Ferse|Keilabsatz mit Bastüberzug";"Leinen";"Innenmaterial: Lederfutter";"Decksohle: Textil";"abriebfester Gummi";"38";"0";"0"
"TI1-m27-0013-23";"Timberland Herrenschuhe Freizeitschuhe 6 INCH PREMIUM BOOT";"Der 6 INCH - der Urboot und Kultobjekt von Timberland aus wasserfestem Nubuckleder. Bestellen Sie jetzt Ihre Stiefel und Schuhe versandkostenfrei bei Zalando.de!";"169.95 EUR";"http://i1.ztatic.de/large/T/I/TI1-m27-0013-23__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/timberland-6-inch-premium-boots-wheat.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"braun";"1-2 Tage";"´Timberland Waterproof-System´|robust und langlebig";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Natur-Kautschuk";"46 47,5";"0";"0"
"EL1-f04-0015-05";"El Naturalista Damenschuhe Schuhe SHIRA";"EL NATURALISTA bringt Lifestyle und ökologische Verantwortung zusammen - der SHIRA ist der Beweis. Genießen Sie den kostenlosen und schnellen Versand bei Zalando.de";"79.00 EUR";"http://i2.ztatic.de/large/E/L/EL1-f04-0015-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/el-naturalista-shira-slipper-tibet.html?cg=03&ch=03";32436505;"Schuhe > Damenschuhe > Slipper";"rot";"1-2 Tage";"natürlich verarbeitete Materialien|Frog-Shock-System";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Natur-Kautschuk";"36";"0";"0"
"EL1-f02-0017-05";"El Naturalista Damenschuhe Sneaker MELISSA";"EL NATURALISTA - das ist Lifestyle gepaart mit ökologischer Verantwortung und sozialem Engagement. Echte EL NATURALISTA Schuhe aus natürlichen Materialien - Jetzt bei Zalando.de bestellen - versandkostenfrei!";"89.00 EUR";"http://i2.ztatic.de/large/E/L/EL1-f02-0017-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/melissa-ledersneaker-tibet.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"rot";"1-2 Tage";"natürliche Materialien |komfortable Innensohle mit Fußbett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Natur-Kautschuk";"36 37 38 40";"0";"0"
"EL1-m02-0017-03";"El Naturalista Damenschuhe Sneaker MELISSA Lederschnürer";"EL NATURALISTA - das ist Lifestyle gepaart mit ökologischer Verantwortung und sozialem Engagement. Echte EL NATURALISTA Schuhe aus natürlichen Materialien - Jetzt bei Zalando.de bestellen - versandkostenfrei!";"79.00 EUR";"http://i2.ztatic.de/large/E/L/EL1-m02-0017-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/el-naturalista-lederschnurer-brown.html?cg=03&ch=03";32436497;"Schuhe > Damenschuhe > Schnürer";"braun";"1-2 Tage";"natürliche Materialien |komfortable Innensohle mit Fußbett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Natur-Kautschuk";"42";"0";"0"
"FL1-f15-0009-03";"flip*flop Damenschuhe Pantoletten TOE FU BRAID";"Exklusiv bei Zalando: TOE FU BRAID, die perfekte Sommer-Pantolette aus der aktuellen Kollektion von flip*flop. Jetzt die Sonne und den kostenlosen sowie schnellen Versand genießen!";"59.00 EUR";"http://i1.ztatic.de/large/F/L/FL1-f15-0009-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-toe-fu-braid-pantolette-indian-brown.html?cg=03&ch=03";32436506;"Schuhe > Damenschuhe > Pantoletten";"braun";"1-2 Tage";"Logo-Prägung auf der Innensohle|typisches Wellenprofil";"Leder";"";"Decksohle: Leder";"abriebfester Gummi";"36";"0";"0"
"FL1-f15-0010-17";"flip*flop Pantoletten Zehentrenner TOE FU ORIGINAL";"EXKLUSIV bei Zalando: TOE FU, sommerliche Leder-Flip Flops aus der aktuellen Kollektion von flip*flop. Jetzt den kostenlosen sowie schnellen Versand bei Zalando.de genießen!";"79.95 EUR";"http://i2.ztatic.de/large/F/L/FL1-f15-0010-17__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/flip-flop-toe-fu-original-chili.html?cg=03&ch=03";32491632;"Schuhe > Damenschuhe > Pantoletten > Zehentrenner";"orange";"1-2 Tage";"Logo-Prägung auf der Innensohle|Marken-typisches Wellenprofil";"Leder";"";"Decksohle: Leder";"abriebfester Gummi";"37";"0";"0"
"KE2-f02-0001-04";"Keds Damenschuhe Sneaker CHAMPION";"Der Keds CHAMPION Canvas-Sneaker ist der Sommer-Hit! In vielen verschiedenen Farben jetzt versandkostenfrei bei Zalando.de bestellen!";"35.00 EUR";"http://i1.ztatic.de/large/K/E/KE2-f02-0001-04__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/keds-champion-canvas-schnuerer-navy.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"blau";"1-2 Tage";"Retro-Style Laufsohle|4-Loch-Schnürung";"Leinen";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"KE2-f02-0001-05";"Keds Damenschuhe Sneaker CHAMPION";"Mit dem KEDS Champion Canvas-Sneaker durch den Frühling und Sommer! In vielen verschiedenen Farben jetzt versandkostenfrei bei Zalando.de bestellen!";"29.00 EUR";"http://i2.ztatic.de/large/K/E/KE2-f02-0001-05__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/champion-canvas-schnurer-red.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"rot";"1-2 Tage";"Vulkanisierte Laufsohle|4-Loch-Schnürer";"Leinen";"Innenmaterial: Textilfutter";"Decksohle: Textil";"";"36";"0";"0"
"CR1-f06-0001-15";"Creative Recreation Damenschuhe Sneaker Galow Hi";"Mit diesen coolen Edel Sneakern ist man top modisch unterwegs. Knallbunt oder edel gestylt? Beides! Bei zalando.de mit kostenlosem Versand - we serve shoes!";"75.00 EUR";"http://i2.ztatic.de/large/C/R/CR1-f06-0001-15__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/creative-recreation-dicocohi-purple.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"violett";"1-2 Tage";"goldfarbene Ösen|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Kunststoff / Nylon";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37,5 37";"0";"0"
"TA1-f12-0034-14";"Tamaris Damenschuhe Sandalen Riemchensandalette";"Tamaris Sommer-Sandale für den Stadtbummel oder heiße Partynächte. Genießen Sie die Auswahl top-aktueller Damen Sandaletten mit kostenlosem Versand bei Zalando.de!";"29.00 EUR";"http://i2.ztatic.de/large/T/A/TA1-f12-0034-14__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/tamaris-sandalette-leder-sand.html?cg=03&ch=03";32436504;"Schuhe > Damenschuhe > Sandaletten";"beige";"1-2 Tage";"Lederüberzogener Blockabsatz|Sohle in violett";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"hochwertiger Kunststoff";"39";"0";"0"
"LA1-f20-0003-14";"Latitude Femme Damenschuhe Pumps Hochfront";"Stadtbummel oder Strandbar! Glamour pur mit den top-aktuellen Schuhen von Latitude femme. Kostenloser Versand bei Zalando.de!";"95.00 EUR";"http://i1.ztatic.de/large/L/A/LA1-f20-0003-14__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hochfront-sandalette-natur.html?cg=03&ch=03";32436500;"Schuhe > Damenschuhe > Pumps";"beige";"1-2 Tage";"lederüberzogener Blockabsatz|hochwertiges Leder";"Leder";"Innenmaterial: Lederfutter";"Decksohle: Leder";"echtes Leder";"37";"0";"0"
"CR1-f06-0012-20";"Creative Recreation Damenschuhe Sneaker DI COCO HI";"Creative Recreation: der Trendsetter in punkto Farben, Material und Qualität. - mit den angesagten Creatives ist man diesen Sommer stylish unterwegs. Bei Zalando.de mit kostenlosem Versand und kostenloser Hotline.";"65.00 EUR";"http://i2.ztatic.de/large/C/R/CR1-f06-0012-20__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/di-coco-hi-edel-sneaker-bunt.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"multicolor";"1-2 Tage";"geprägter Logoschriftzug auf der Sohle|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Leder und Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37,5 37 38 39 40";"0";"0"
"BL1-f11-0008-16";"Blowfish Damenschuhe Boots SEGMENT";"Wunderschöne Ballerinas mit ultra-flacher Silhouette - in fuchsia, der Style-Tipp für den Sommer! Genießen Sie die tollen Modelle von Blowfish und den kostenlosen Versand bei Zalando.de!";"25.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f11-0008-16__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/segment-ballerina-canvas-fuchsia.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"pink";"1-2 Tage";"3-Knopfleiste auf dem Blatt|leichte, flexible Laufsohle";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"BL1-f11-0014-07";"Blowfish Damenschuhe Boots MICASA";"Wunderschöner Ballerina mit ultra-flacher Silhouette - in schwarz, der Style-Tipp für den Sommer! Genießen Sie die neuesten Modelle von Blowfish und den kostenlosen Versand bei Zalando.de!";"29.00 EUR";"http://i1.ztatic.de/large/B/L/BL1-f11-0014-07__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/micasa-ballerina-canvas-yellow.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"gelb";"1-2 Tage";"Gummibänder auf dem Spann|Innenfutter mit Blowfish-Label";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"BL1-f11-0013-01";"Blowfish Damenschuhe Boots HUTT";"Wunderschöner Ballerina mit ultra-moderner Reißverschluss-Applikation - in schwarz, der Style-Tipp für den Sommer! Genießen Sie die neuesten Modelle von Blowfish und den kostenlosen Versand bei Zalando.de!";"35.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f11-0013-01__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/hutt-ballerina-schwarz.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"schwarz";"1-2 Tage";"griffiges Profil|Innenfutter in leuchtendem Grün";"Hochwertiges Lederimitat";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"BL1-f11-0015-06";"Blowfish Damenschuhe Boots SPANDEX";"Wunderschöner Ballerina mit ultra-flacher Silhouette - in schwarz, der Style-Tipp für den Sommer! Genießen Sie die neuesten Modelle von Blowfish und den kostenlosen Versand bei Zalando.de!";"29.00 EUR";"http://i1.ztatic.de/large/B/L/BL1-f11-0015-06__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/spandex-ballerina-khaki.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"gruen";"1-2 Tage";"Bänder auf dem Spann|Innenfutter mit Blowfish-Label";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"BL1-f11-0015-17";"Blowfish Damenschuhe Boots SPANDEX";"Wunderschöner Ballerina SPANDEX mit ultra-flacher Silhouette - in Schwarz, der Style-Tipp für den Sommer! Genießen Sie die neuesten Modelle von Blowfish und den kostenlosen Versand bei Zalando.de!";"29.00 EUR";"http://i1.ztatic.de/large/B/L/BL1-f11-0015-17__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/spandex-ballerina-orange.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"orange";"1-2 Tage";"Bänder auf dem Spann|Innenfutter mit Blowfish-Label";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36";"0";"0"
"BL1-f21-0018-10";"Blowfish Stiefeletten Boots HAMISH";"HAMISH, the ONE and only! Trendige Boots von Blowfish, Malibu - der absolute Fashion-Hit! Jetzt mit schneller Lieferung und kostenlosem Versand bei Zalando.de.";"55.00 EUR";"http://i2.ztatic.de/large/B/L/BL1-f21-0018-10__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/blowfish-hamish-canvas-boot-grey-washed-twill.html?cg=03&ch=03";32492857;"Schuhe > Damenschuhe > Stiefeletten > Ankle Boots";"grau";"1-2 Tage";"Knopfleiste am Schaft |lila Innenfutter";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"37";"0";"0"
"CR1-f06-0010-10";"Creative Recreation Damenschuhe Sneaker CESARIO Wn´s Sneaker";"CESARIO Lack-Sneaker mit türkis-farbenen Paspelierungen. Jetzt die exklusiven Modelle von Cre8tive Recreation bei Zalando.de versandkostenfrei bestellen!";"79.00 EUR";"http://i1.ztatic.de/large/C/R/CR1-f06-0010-10__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/creative-recreation-cesario-grau-tuerkis.html?cg=03&ch=03";32436492;"Schuhe > Damenschuhe > Sneaker";"grau";"1-2 Tage";"goldene Schnellschnürung|Metall-Schlüsselanhänger bei jedem Schuh dabei";"Kunststoff / Nylon";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"38 39";"0";"0"
"GO1-m05-0001-02";"Gola Herrenschuhe Freizeitschuhe HARRIER";"Herrensneaker im Original Retro-Style: Der Gola HARRIER Sneaker in weiss! Versand, Umtausch & Hotline bei Zalando.de immer kostenfrei.";"84.95 EUR";"http://i1.ztatic.de/large/G/O/GO1-m05-0001-02__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/gola-harrier-sneaker-white-dk-green.html?cg=03&ch=03";32436496;"Schuhe > Herrenschuhe > Freizeitschuhe";"weiss";"1-2 Tage";"7-Loch-Schnürung|Goldene Logo-Prägung an der Zunge";"Leder";"Innenmaterial: Kombination aus Leder und Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"41 42 43 44 45 46";"1";"0"
"GO1-f05-0001-03";"Gola Sneaker Sneaker low HARRIER";"Damenschuhe im Original Retro-Style -der Gola HARRIER Sneaker in Braun!  Versand, Umtausch & Hotline bei Zalando.de immer kostenfrei.";"84.95 EUR";"http://i2.ztatic.de/large/G/O/GO1-f05-0001-03__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/gola-harrier-sneaker-brown-pale-blue.html?cg=03&ch=03";32491612;"Schuhe > Damenschuhe > Sneaker > Sneaker low";"braun";"1-2 Tage";"Laufsohle mit Fischgrätenprofil|Goldene Logo-Prägung an der Zunge";"Leder";"Innenmaterial: Kombination aus Leder und Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36 37 38 40 41";"0";"0"
"GO1-f05-0001-12";"Gola Sneaker Sneaker low HARRIER";"Retro-Look von Gola! Bestellen Sie jetzt die brandneuen Gola HARRIER - Sneaker bei Zalando.de und profitieren Sie von unserem kostenlosen Versand!";"84.95 EUR";"http://i2.ztatic.de/large/G/O/GO1-f05-0001-12__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/gola-harrier-sneaker-white-navy-red.html?cg=03&ch=03";32491612;"Schuhe > Damenschuhe > Sneaker > Sneaker low";"weiss komb.";"1-2 Tage";"Laufsohle mit Fischgrätenprofil|Goldene Logo-Prägung an der Zunge";"Leder";"Innenmaterial: Kombination aus Leder und Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36 37";"0";"0"
"BL1-f11-0008-15";"Blowfish Damenschuhe Boots SEGMENT";"Wunderschöne Ballerinas mit ultra-flacher Silhouette - in purple, der Style-Tipp für den Sommer! Genießen Sie die tollen Modelle von Blowfish und den kostenlosen Versand bei Zalando.de!";"35.00 EUR";"http://i1.ztatic.de/large/B/L/BL1-f11-0008-15__default__1.jpg";"http://partners.webmasterplan.com/click.asp?ref=535368&site=5643&type=text&tnb=1&diurl=http://www.zalando.de/blowfish-segment-ballerina-canvas-purple.html?cg=03&ch=03";32436503;"Schuhe > Damenschuhe > Ballerinas";"violett";"1-2 Tage";"3-Knopfleiste auf dem Blatt|leichte, flexible Laufsohle";"Textil";"Innenmaterial: Textilfutter";"Decksohle: Textil";"hochwertiger Kunststoff";"36 37 38 41";"0";"0"
